Provincia,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020
Almeria,0,0,0,0,0,0,0,0,0,0,0,6,6,8,9,12,12,15
Cadiz,0,0,0,0,0,0,0,0,0,0,0,7,7,9,9,9,13,18
Cordoba,0,0,0,0,0,0,0,0,0,0,0,9,11,14,14,16,20,23
Granada,0,0,0,0,0,0,0,0,0,0,0,22,29,34,40,56,64,86
Huelva,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,5,9,9
Jaen,0,0,0,0,0,0,0,0,0,0,0,15,18,19,21,28,35,37
Malaga,0,0,0,0,0,0,0,0,0,0,0,69,89,95,104,150,176,185
Sevilla,1,1,1,1,1,1,1,1,1,1,1,23,31,45,50,57,78,82
